Species_Name,Scientific_Name,Conservation_Status,Dominant_Threat_Factor,Correlation_Value,Years_Max,Population_Trend_Summary,Conservation_Suggestion
Indian Giant Flying Squirrel,Petaurista philippensis,Least Concern,"Habitat degradation, fragmentation, and hunting",0.28,200,Stable status,Conservation efforts should focus on habitat protection and community awareness to reduce hunting.
Travancore Flying Squirrel,Petinomys fuscocapillus,Vulnerable,Habitat loss and fragmentation,0.7,100,Population decreasing,Protecting and restoring its native forest habitats are critical.
Indian Porcupine,Hystrix indica,Least Concern,Persecution (pest); hunting,0.15,200,Not a major conservation concern globally,Education for local communities to reduce human-wildlife conflict and strict enforcement of anti-poaching laws.
Indian Hare,Lepus nigricollis,Least Concern,Habitat loss and hunting,0.17,200,Common in the Indian subcontinent,Continued habitat protection and monitoring of hunting levels are needed to maintain its stable population.
Three-striped Palm Squirrel,Funambulus palmarum,Least Concern,Persecution (nuisance) in urban areas,0.1,200,Common throughout India and Sri Lanka,"None are specifically required, but coexistence strategies are needed in urban settings."
Jungle Striped Squirrel,Funambulus tristriatus,Least Concern,Habitat loss; persecution (pest),0.19,200,Stable status,Habitat protection and managing human-squirrel conflict in agricultural areas.
House Mouse,Mus musculus,Least Concern,Pest (population control/extermination),0.05,200,Global commensal species,No conservation suggestions; efforts focus on population control and management due to its pest status.
Little Indian Field Mouse,Mus booduga,Least Concern,Agricultural pest (control measures),0.07,200,Widespread species,None are needed; efforts focus on pest management.
Large Bandicoot Rat,Bandicota indica,Least Concern,Persecution (pest); habitat loss,0.09,200,Widespread and common,Management efforts are primarily for pest control.
Lesser Bandicoot Rat,Bandicota bengalensis,Least Concern,Persecution (pest) and habitat control,0.08,200,Major pest,No conservation suggestions; focus is on pest management.
House Rat,Rattus rattus,Least Concern,Pest (damages property and spreads diseases),0.06,200,Commensal rodent found globally,Control measures are the primary focus.
Sahyadris Forest Rat,Rattus satarae,Vulnerable,Habitat loss and fragmentation,0.69,100,Endemic to the Western Ghats,Protection of its unique montane forest habitats is essential.
Indian Bush Rat,Golunda ellioti,Least Concern,Habitat loss,0.14,200,Widespread and common,Continued monitoring of its population and habitat protection.
Indian Flying Fox,Pteropus giganteus,Least Concern,Habitat loss; persecution; hunting,0.39,200,Widespread and major pollinator,Focus on public awareness about their ecological role as pollinators and seed dispersers to reduce persecution.
Lesser Mouse-tailed Bat,Rhinopoma hardwickii,Least Concern,Habitat loss and disturbance to roosting sites,0.24,200,Widespread and common,Protecting their roosting sites from human disturbance is crucial.
Greater False Vampire,Megaderma lyra,Least Concern,Habitat loss and disturbance to its roosting sites,0.27,200,Widespread and common,Protection of their roosting sites is essential.
Lesser False Vampire,Megaderma spasma,Least Concern,Habitat destruction and human disturbance,0.29,200,Widespread and common,Protecting their forest habitats and roosting sites from human encroachment.
Rufous Horseshoe Bat,Rhinolophus rouxii,Least Concern,Habitat loss and illegal cave-mining,0.32,200,Widespread and common,Protecting their roosting caves and forest habitats.
Kolar Leaf-nosed Bat,Hipposideros hypophyllus,Critically Endangered,Disturbance to its only known roosting site (mining),0.92,40,"Endemic to a single cave, steeply declining",The most urgent conservation measure is to declare the cave and its surrounding area a protected zone and stop all mining activities.
Indian Painted Bat,Kerivoula picta,Least Concern,Habitat loss,0.3,200,Widespread and common,Protection of its forest habitats.
Indian Pipistrelle,Pipistrellus coromandra,Least Concern,Use of pesticides in agricultural areas,0.31,200,Highly adaptable and widespread,Regulation of pesticide use and public awareness about the benefits of bats.
Tickell's Bat,Hesperoptenus tickelli,Least Concern,Habitat loss,0.2,200,Widespread and common,Protecting its forest habitats.
Asiatic Lesser Yellow House Bat,Scotophilus kuhlii,Least Concern,No major threats,0.05,200,Highly adaptable species,None needed.
Wrinkle-lipped Free-tailed Bat,Chaerephon plicata,Least Concern,Disturbance to its roosting caves and pesticide use,0.34,200,Widespread and common,Protecting its roosting caves and managing pesticide use.
Wroughton's Free-tailed Bat,Otomops wroughtoni,Critically Endangered,Habitat loss and disturbance to its few known roosting caves (mining/tourism),0.9,40,"Extremely rare, steeply declining",Urgent protection of its roosting sites and their surrounding habitats.
Horsfield's Shrew,Crocidura horsfieldi,Least Concern,Habitat loss,0.16,200,"Widespread, adaptable, and large population",None are specifically required.
House Shrew,Suncus murinus,Least Concern,Nuisance to humans (control measures),0.05,200,One of the most widespread shrew species in the world,No specific conservation efforts are required.
Pygmy-toothed Shrew,Suncus etruscus,Least Concern,Habitat loss,0.11,200,One of the smallest mammals in the world,Protecting its natural habitats is important.
Hill Shrew,Suncus montanus,Least Concern,Habitat loss and fragmentation,0.25,200,Widespread and common,Protection of its specific montane forest habitat is crucial.
Day's Shrew,Suncus dayi,Endangered,Habitat loss and fragmentation,0.79,60,Small and declining population,Urgent protection of its limited forest habitat is needed.
Madras Hedgehog,Hemiechinus nudiventris,Least Concern,Habitat loss and poaching,0.18,200,Endemic to southern India,Public awareness and habitat protection are important to mitigate threats.
Indian Pangolin,Manis crassicaudata,Endangered,Illegal poaching for the wildlife trade,0.95,60,Rapidly decreasing trend due to heavy poaching,"Urgent and strict anti-poaching measures, international collaboration to stop the illegal trade, and public awareness campaigns."
Common Indian Toad,Duttaphrynus melanostictus,Least Concern,Human persecution; pollution and road kills,0.09,200,One of the most widespread and common toad species in Asia,No specific conservation efforts are required.
Beddome's Toad,Duttaphrynus beddomii,Vulnerable,Habitat loss and fragmentation,0.68,100,Population is decreasing,Protecting and restoring its native forest habitats are critical.
Ornate Warty Frog,Ghatophryne ornata,Vulnerable,Habitat loss and fragmentation,0.67,100,Population decreasing,Protecting its specific forest and stream habitats is essential.
Rubiginous Warty Frog,Ghatophryne rubigina,Vulnerable,Habitat loss,0.66,100,Population decreasing,Protecting its native forest habitats is crucial.
Malabar Tree Toad,Pedostibes tuberculosus,Vulnerable,Habitat loss and fragmentation,0.65,100,Population decreasing,Protecting and restoring its forest habitats are vital for its survival.
Koyna Toad,Xanthophryne koynayensis,Endangered,Habitat loss,0.81,60,Population decreasing,Urgent protection of its limited habitat is needed.
Indian Skittering Frog,Euphlyctis cyanophlyctis,Least Concern,Pollution of water bodies and habitat degradation,0.15,200,Widespread and highly adaptable,"None are specifically required, but maintaining healthy freshwater ecosystems is important."
Indian Pond Frog,Euphlyctis hexadactylus,Least Concern,Habitat loss (draining of wetlands) and pollution,0.2,200,Widespread and common,Protecting and restoring wetland habitats are crucial for this species.
Jerdon's Bullfrog,Hoplobatrachus crassus,Least Concern,Hunting for its meat,0.1,200,Widespread and common,None are specifically required.
Indian Bullfrog,Hoplobatrachus tigerinus,Least Concern,Hunting for its legs,0.13,200,Widespread and common,Monitoring hunting pressure is important to ensure its population remains stable.
Rufous Frog,Minervarya rufescens,Least Concern,Habitat loss,0.17,200,Widespread and common,Protection of its native forest habitat is important.
Bengaluru Burrowing Frog,Sphaerotheca Bengaluru,Data Deficient,Habitat loss due to rapid urbanization,0.35,200,Not enough is known,Further research is needed to determine its conservation status and to implement protection measures.
Monsoon Burrowing Frog,Sphaerotheca varshaabhu,Data Deficient,Habitat loss due to expansion and urbanization,0.3,200,Not enough is known,More research is needed to understand its population and range.
Indian Burrowing Frog,Sphaerotheca breviceps,Least Concern,No major threats,0.05,200,Widespread and adaptable,None are needed.
Dobson's Burrowing Frog,Sphaerotheca dobsonii,Data Deficient,Habitat loss is a potential threat,0.25,200,Not enough is known,More research is needed to assess its conservation status.
Kerala Frog,Fejervarya keralensis,Least Concern,Habitat loss and water pollution,0.18,200,Widespread and common,Protecting its forest and aquatic habitats is important.
Kudremukh Frog,Fejervarya kudremukhensis,Endangered,Habitat loss,0.8,60,Population decreasing,The protection of the Kudremukh National Park is crucial for this species' survival.
Mysore Frog,Fejervarya mysorensis,Vulnerable,Habitat loss,0.64,100,Population decreasing,Protecting its forest habitat is crucial.
Karnataka Caecilian,Gegeneophis carnosus,Least Concern,Habitat loss,0.15,200,Widespread and common,Protecting its native forest habitats is important.
Beddome's Caecilian,Ichthyophis beddomei,Least Concern,Habitat loss,0.16,200,Widespread and common,Protecting its forest habitats is crucial.
Bombay Caecilian,Ichthyophis bombayensis,Least Concern,Habitat loss,0.17,200,Widespread and common,Protecting its native forest habitats is important.
Narayan's Caecilian,Uraeotyphlus narayani,Least Concern,Habitat loss,0.15,200,Widespread and common,Protecting its forest habitats.
Madhav's Caecilian,Gegeneophis madhavai,Vulnerable,Habitat loss and fragmentation,0.63,100,Population decreasing,Protecting its forest habitats from human encroachment.
Marsh Crocodile,Mugger Crocodile,Vulnerable,"Habitat loss, accidental drowning, and persecution",0.71,100,Population increasing due to conservation efforts,"Protecting and restoring wetland habitats, promoting community awareness to reduce human-crocodilian conflict, and implementing stricter laws against illegal killing."
Prashad's Dwarf Gecko,Hemidactylus prashadi,Vulnerable,Habitat loss and fragmentation,0.62,100,Population decreasing,Protecting its native forest habitats from human encroachment.
White-striped Gecko,Geckoella albofasciata,Vulnerable,Habitat loss,0.61,100,Population decreasing,Protecting its forest habitats is crucial.
Heteropholis Day Gecko,Cnemaspis heteropholis,Least Concern,Localized threats from habitat loss,0.15,200,Generally stable,Protecting its native forest and rocky habitats.
Southern Flying Lizard,Draco dussumieri,Least Concern,Habitat loss,0.18,200,Widespread and common,Protecting its forest habitats.
Peninsular Rock Agama,Psammophilus dorsalis,Least Concern,No major threats,0.05,200,Widespread and common,None are specifically needed.
Large-scaled Forest Lizard,Calotes grandisquamis,Vulnerable,Habitat loss and fragmentation,0.6,100,Population decreasing,Protecting its forest habitats.
Indian Chameleon,Chamaeleo zeylanicus,Least Concern,Hunting and capture for the illegal pet trade,0.2,200,Widespread and common,Regulation of the illegal pet trade and public awareness.
Common Indian Monitor Lizard,Varanus bengalensis,Least Concern,Poaching for its skin; killed out of fear,0.25,200,Widespread and common,Public awareness and strict enforcement of anti-poaching laws.
Indian Skink,Eutropis carinata,Least Concern,No major threats,0.05,200,Highly adaptable and common,None are specifically needed.
Indian Rock Python,Python molurus,Vulnerable,Habitat loss and illegal poaching,0.7,100,Population decreasing,Protecting their habitats and enforcing anti-poaching laws.
Red Sand Boa,Eryx johnii,Least Concern,Illegal trade (traditional medicine/luck),0.25,200,Widespread and common,Raising awareness about its harmless nature and cracking down on the illegal wildlife trade.
Common Sand Boa,Gongylophis conicus,Least Concern,Poaching for illegal pet trade and traditional medicine,0.22,200,Widespread and common,Public education and enforcement of anti-poaching laws.
Oriental Rat Snake,Ptyas mucosa,Least Concern,Habitat loss and persecution by humans,0.15,200,Highly adaptable and widespread,Public awareness about its harmless and beneficial role in controlling rodent populations.
Common Bronzeback Tree Snake,Dendrelaphis tristis,Least Concern,Habitat loss,0.1,200,Widespread and common,Protecting its forest and tree habitats.
Checkered Keelback,Fowlea piscator,Least Concern,Water pollution and habitat loss,0.2,200,Widespread and common,Protecting freshwater ecosystems from pollution.
Common Wolf Snake,Lycodon aulicus,Least Concern,No major threats,0.05,200,Common and adaptable species,None are specifically needed.
Common Trinket Snake,Coelognathus helena,Least Concern,Habitat loss,0.1,200,Widespread and common,Protecting its natural habitats.
Spectacled Cobra,Naja naja,Vulnerable,"Habitat loss, persecution, and poaching",0.75,100,Population decreasing,"Public education to reduce human-snake conflict, and strict anti-poaching laws."
King Cobra,Ophiophagus hannah,Vulnerable,Habitat loss and illegal poaching,0.76,100,Population decreasing,Protection of its forest habitats.
Common Krait,Bungarus caeruleus,Least Concern,Persecution by humans,0.1,200,Widespread and common,Public awareness about its nocturnal nature and avoiding contact with it.
Russell's Viper,Daboia russelii,Least Concern,Persecution by humans,0.08,200,Widespread and common,Public awareness about snakebite prevention and the use of anti-venom.
Saw-scaled Viper,Echis carinatus,Least Concern,Persecution by humans,0.07,200,Widespread and common,Public awareness about its behavior and snakebite prevention.
Malabar Pit Viper,Craspedocephalus malabaricus,Least Concern,Habitat loss,0.18,200,Widespread and common,Protecting its native forest habitats.
Bamboo Pit Viper,Trimeresurus gramineus,Least Concern,Habitat loss,0.17,200,Widespread and common,Protecting its forest habitats.
Jerdon's Shield-tail Snake,Uropeltis jerdoni,Vulnerable,Habitat loss and fragmentation,0.6,100,Population decreasing,Protecting its limited forest habitats.
