ID,Common_Name,Scientific_Name,Group_Family,Ecosystem_Habitat,Conservation_Status,Dominant_Threats,Conservation_Suggestions,Source_File
21,Olive Barb,Puntius sarana,Cyprinidae (Freshwater Fish),"Freshwater (Rivers/Lakes). Found in rivers, streams, and lakes.",Least Concern.,Overfishing and habitat degradation.,Promoting sustainable fishing.,aquaticlife dataset.docx
22,Mullya Stream Loach,Garra mullya,Cyprinidae (Freshwater Fish),"Freshwater (Streams). Found in fast-flowing, clear mountain streams and rivers across peninsular India.",Least Concern.,Siltation of stream beds due to deforestation and water pollution.,Protecting the riparian zones of streams to prevent siltation.,aquaticlife dataset.docx
23,Mysore Stone Loach,Balitora mysorensis,Balitoridae (Freshwater Fish),"Freshwater (Endemic). Found in fast-flowing, clean, well-oxygenated hill streams in the Western Ghats. It adheres to rocks in strong currents.",Vulnerable.,Habitat degradation (silting and pollution) and alteration of water flow due to micro-hydro projects.,Protecting the quality and natural flow of its endemic hill streams.,aquaticlife dataset.docx
24,Freshwater Shark / Wallago,Wallago attu,Siluridae (Freshwater Fish),"Freshwater (Large Rivers). A large predatory catfish found in the main channels of large rivers, deep reservoirs, and lakes.",Vulnerable.,"Overfishing (highly valued for consumption), habitat loss, and pollution.",Regulating fishing size limits and protecting their riverine habitats.,aquaticlife dataset.docx
25,Giant River Catfish,Mystus seenghala,Bagridae (Freshwater Fish),Freshwater (Rivers/Lakes). A large predatory catfish found in rivers and large reservoirs.,Least Concern.,Overfishing and habitat degradation.,Implementing sustainable fishing practices.,aquaticlife dataset.docx
26,Malabar Mystus,Mystus malabaricus,Bagridae (Freshwater Fish),"Freshwater. Found primarily in hill streams and rivers in the Western Ghats of India. It prefers clear, flowing water.",Vulnerable.,"Habitat degradation from deforestation leading to siltation of streams, and pollution.",Protecting the riparian zones and headwater streams in the Western Ghats to maintain water quality and habitat structure.,aquaticlife dataset.docx
27,Giant Snakehead (Murrel),Channa marulius,Channidae (Freshwater Fish),"Freshwater. Found in large lakes, rivers, and reservoirs. It is a large, predatory fish known for its ability to breathe air (facultative air-breather).",Least Concern.,Overfishing (highly valued food fish) and habitat loss from wetland drainage.,"Monitoring fishing pressure and protecting large, contiguous freshwater habitats.",aquaticlife dataset.docx
28,Indian Mottled Eel,Anguilla bengalensis,Anguillidae (Fish),Freshwater/Brackish (Catadromous). Spends its adult life in freshwater rivers and lakes but migrates to the ocean to breed.,Near Threatened.,"Barriers to migration (dams and weirs) on rivers, pollution, and overfishing of both adults and juveniles (""glass eels"") for the international market.",Installing fish passages/ladders on dams. Strict regulation of fishing for young eels.,aquaticlife dataset.docx
29,Tire-track Spiny Eel,Mastacembelus armatus,Mastacembelidae (Fish),"Freshwater. Found in slow-moving rivers, lakes, and reservoirs, preferring soft or muddy bottoms where it can burrow.",Least Concern.,Habitat degradation due to siltation and collection for the ornamental fish trade.,Habitat protection and sustainable management of collection for the pet trade.,aquaticlife dataset.docx
30,Indian Oil Sardine,Sardinella longiceps,Clupeidae (Marine Fish),Marine (Pelagic). Found in coastal waters near the surface. It forms large schools and is a keystone species in the marine ecosystem.,Least Concern.,Heavy fishing pressure (it is a major commercial fishery) and climatic variability (ENSO events) which affect its abundance and migratory patterns.,Implementing science-based fishing quotas and size limits. Monitoring the impact of climate change on stock health.,aquaticlife dataset.docx
31,Indian Mackerel,Rastrelliger kanagurta,Scombridae (Marine Fish),Marine (Pelagic). Found in large schools in coastal waters.,Least Concern.,High fishing pressure (major commercial species) and habitat pollution in near-shore spawning areas.,Sustainable fishery management and reducing coastal pollution.,aquaticlife dataset.docx
32,Giant Trevally,Caranx ignobilis,Carangidae (Marine Fish),"Marine. Found in reefs, open coastal waters, and estuaries. It is a large, highly migratory predatory fish.",Least Concern.,"Overfishing, particularly from commercial and recreational anglers. Susceptible to ciguatera poisoning in some areas.","Regulating fishing size and catch limits. Protecting key foraging and spawning sites (e.g., specific reef areas).",aquaticlife dataset.docx
33,Black Pomfret,Parastromateus niger,Stromateidae (Marine Fish),"Marine. Found in coastal and offshore waters, often over mud bottoms.",Least Concern.,Overfishing due to high commercial demand.,Implementing sustainable fishing practices.,aquaticlife dataset.docx
34,Silver Pomfret,Pampus argenteus,Stromateidae (Marine Fish),Marine. Found in coastal and offshore waters. It is one of the most commercially important fish species in India.,Vulnerable.,Intense and often unregulated fishing pressure has led to declining stocks in many areas.,Implementing and strictly enforcing fishing quotas and seasonal closures during spawning periods.,aquaticlife dataset.docx
35,Asian Sea Bass (Bhekti),Lates calcarifer,Latidae (Marine/Brackish Fish),"Brackish/Marine (Catadromous/Euryhaline). Highly tolerant of salinity changes; found in estuaries, coastal waters, rivers, and lagoons.",Least Concern.,Overfishing and habitat loss in critical mangrove and estuarine nursery areas.,Protecting estuarine and mangrove habitats. Sustainable management of both wild catch and aquaculture practices.,aquaticlife dataset.docx
36,Mangrove Red Snapper,Lutjanus argentimaculatus,Lutjanidae (Marine Fish),"Marine. Juveniles are found in mangrove areas and estuaries, while adults inhabit coastal reefs and open water.",Least Concern.,Overfishing and destruction of mangrove and estuarine nursery habitats.,Protecting critical mangrove ecosystems and regulating fishing gear that targets juvenile fish.,aquaticlife dataset.docx
37,Indian Anchovy,Stolephorus indicus,Engraulidae (Marine Fish),Marine (Pelagic). Found in large schools in coastal waters.,Least Concern.,High fishing pressure (used extensively for human consumption and fish meal) and climatic variability.,Monitoring stock levels and ensuring fishing remains within sustainable limits.,aquaticlife dataset.docx
38,Striped Snakehead,Channa striata,Channidae (Freshwater Fish),"Freshwater. Found in stagnant or slow-moving water bodies like canals, rice paddies, ponds, and swamps. It is a highly important food fish.",Least Concern.,Habitat degradation from wetland draining and pollution.,Protecting wetland ecosystems from conversion and pollution.,aquaticlife dataset.docx
39,Bronze Featherback,Notopterus notopterus,Notopteridae (Freshwater Fish),"Freshwater. Found in still or slow-moving water like ponds, tanks, canals, and inundated fields.",Least Concern.,Overfishing and habitat loss from wetland draining.,Protecting its wetland and slow-moving water habitats.,aquaticlife dataset.docx
40,Spotted Chromide,Etroplus maculatus,Cichlidae (Freshwater Fish),"Freshwater/Brackish. Found primarily in estuaries, lagoons, and backwaters, but also moves into freshwater ponds and slow-moving streams. It prefers areas with aquatic vegetation.",Least Concern.,Habitat degradation in estuarine and brackish water environments due to pollution and coastal development. It is also collected for the aquarium trade.,Protection of mangrove and estuarine habitats which serve as crucial nursery areas. Sustainable collection practices for the ornamental trade.,aquaticlife dataset.docx
41,Wynaad Mahseer,Neolissochilus wynaadensis,Cyprinidae (Freshwater Fish),"Freshwater (Endemic). Found exclusively in clear, fast-flowing hill streams and rivers of the Wayanad region (Western Ghats).",Endangered.,"Habitat loss and fragmentation due to river damming, siltation from deforestation on surrounding hills, and pollution from agricultural runoff. Overfishing is also a threat.",Urgent protection of its endemic river stretches. Regulating land use in the catchment areas to prevent siltation.,aquaticlife dataset.docx
42,Blackspot Barb,Dawkinsia filamentosa,Cyprinidae (Freshwater Fish),"Freshwater. Found in clear, well-oxygenated streams and rivers in the southern Western Ghats. It's often found in shoals.",Least Concern.,Localized collection for the ornamental fish trade and habitat degradation from pollution and human activities.,Monitoring collection for the aquarium trade and protecting the water quality of its stream habitats.,aquaticlife dataset.docx
43,Rosy Barb,Puntius conchonius,Cyprinidae (Freshwater Fish),"Freshwater. Found in a variety of water bodies including streams, slow-moving rivers, and standing water like ponds. It prefers areas with dense vegetation.",Least Concern.,No major threats; it is a very adaptable and common species. It's also popular in the aquarium trade worldwide.,None specifically needed.,aquaticlife dataset.docx
44,Mullya Stream Loach,Garra mullya,Cyprinidae (Freshwater Fish),"Freshwater. Found in fast-flowing, clear mountain streams and rivers across peninsular India. It has a specialized mouth structure to cling to rocks in strong currents.",Least Concern.,Siltation of stream beds (due to land-use changes and deforestation) and water pollution are the main threats.,Protecting the vegetation along stream banks (riparian zones) to prevent soil erosion and siltation.,aquaticlife dataset.docx
45,Butter Catfish,Ompok bimaculatus,Siluridae (Freshwater Fish),"Freshwater. Found in lakes, rivers, reservoirs, and tanks, preferring muddy bottoms and sluggish water. It is a highly valued food fish.",Vulnerable.,Overfishing due to high market demand and habitat degradation from pollution and siltation of water bodies.,Implementing sustainable fishing practices and protecting its specific freshwater habitats.,aquaticlife dataset.docx
46,Striped Bonito,Sarda orientalis,Scombridae (Marine Fish),"Marine. A highly migratory, pelagic fish found in coastal and open ocean waters.",Least Concern.,"Commercial fishing pressure, particularly from purse seines and gillnets, targeting schooling fish.",International cooperation on managing highly migratory species and monitoring fishing quotas.,aquaticlife dataset.docx
47,Yellowfin Tuna,Thunnus albacares,Scombridae (Marine Fish),"Marine. A large, fast-swimming, highly migratory pelagic fish found in tropical and subtropical ocean waters.",Near Threatened.,"Intense global fishing pressure (longline, purse seine fishing) is the primary threat. Bycatch of juvenile tuna is a significant concern.","Implementing international and regional fishery management plans, including quotas, vessel monitoring systems, and protection of juvenile stocks.",aquaticlife dataset.docx
48,Giant Grouper,Epinephelus malabaricus,Serranidae (Marine Fish),"Marine. Found in coastal reefs, rocky areas, and estuaries. Juveniles use mangroves and estuaries as nursery areas.",Near Threatened.,Overfishing (highly prized food fish) and habitat destruction of coral reefs and mangroves. Susceptible to overfishing because of its large size and long lifespan.,Establishing marine protected areas (MPAs) to protect critical reef habitats and regulating fishing size limits.,aquaticlife dataset.docx
49,Indian Flounder,Psettodes erumei,Psettodidae (Marine Fish),Marine. A flatfish found on sandy and muddy bottoms in coastal waters and on continental shelves.,Least Concern.,Commercial trawling can deplete stocks and damage benthic habitats.,Regulating bottom trawling activities to reduce habitat damage and ensure sustainable catch limits.,aquaticlife dataset.docx
50,Yellowtail Scad,Atule mate,Carangidae (Marine Fish),"Marine. Found in coastal waters, bays, and around islands, often in shallow, inshore areas.",Least Concern.,High fishing pressure as it is often caught as bycatch or targeted for local consumption.,Monitoring catch levels to prevent overexploitation of local stocks.,aquaticlife dataset.docx
51,Silver Sillago (Whiting),Sillago sihama,Sillaginidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and shallow sandy or muddy bottoms. It is a common inshore species.",Least Concern.,Localized overfishing near coastal areas and habitat degradation of inshore waters and estuaries due to pollution and coastal development.,Monitoring inshore fishing pressure and protecting estuarine nursery habitats.,aquaticlife dataset.docx
52,Indian Tongue Sole,Cynoglossus arel,Cynoglossidae (Marine Fish),"Marine. A flatfish found on muddy and sandy bottoms of the continental shelf, often in coastal and estuarine areas.",Least Concern.,Trawl fishing pressure can impact stocks and damage benthic habitats.,Sustainable management of bottom trawling activities.,aquaticlife dataset.docx
53,Blackspot Snapper,Lutjanus fulviflammus,Lutjanidae (Marine Fish),"Marine. Juveniles are found in estuaries and mangroves, while adults inhabit coastal reefs and rocky areas.",Least Concern.,Overfishing and destruction of critical nursery habitats (mangroves and estuaries).,"Protecting mangrove and estuarine ecosystems, and implementing regulated fishing to protect breeding stocks.",aquaticlife dataset.docx
54,Skipjack Tuna,Katsuwonus pelamis,Scombridae (Marine Fish),"Marine. A small, fast-growing, highly migratory pelagic fish found in open tropical and subtropical ocean waters.",Least Concern.,"High commercial fishing pressure, as it is the most widely fished tuna species globally. Susceptible to changes in ocean temperature.",International cooperation on fishery management. Monitoring of fishing methods to minimize bycatch.,aquaticlife dataset.docx
55,Cobia,Rachycentron canadum,Rachycentridae (Marine Fish),"Marine. Found in coastal waters, estuaries, and around reefs. It is often solitary or found in small groups.",Least Concern.,Overfishing and increasing popularity in aquaculture.,Monitoring wild stocks against increasing demand from both fishing and aquaculture industries.,aquaticlife dataset.docx
56,Black Bream (Black Sea Bream),Acanthopagrus berda,Sparidae (Marine Fish),"Brackish/Marine. Highly tolerant of salinity changes; found in coastal waters, estuaries, and even the lower reaches of rivers. Juveniles inhabit estuaries.",Least Concern.,Habitat degradation in estuaries due to pollution and development.,Protection of estuarine and brackish water habitats.,aquaticlife dataset.docx
57,Silver Mojarra,Gerres oyena,Gerreidae (Marine Fish),"Marine. Found in shallow coastal waters, sandy bottoms, and tidal creeks.",Least Concern.,"No major threats, as it is a common and widely distributed species.",None specifically needed.,aquaticlife dataset.docx
58,White-spotted Spinefoot,Siganus canaliculatus,Siganidae (Marine Fish),"Marine. Found in shallow, coastal waters, seagrass beds, and coral reefs. It is an herbivorous fish.",Least Concern.,Habitat destruction of seagrass beds and coral reefs.,Protecting key feeding habitats like seagrass beds and reefs.,aquaticlife dataset.docx
59,Indian White Prawn,Penaeus indicus,Penaeidae (Crustacean),"Marine (Commercial). Juveniles are found in estuaries and backwaters (nursery grounds), while adults live in coastal marine waters.",Not Evaluated (Globally considered stable but subject to intense fishing).,Intensive fishing pressure and habitat loss in estuarine nursery areas due to pollution and coastal development.,"Sustainable fishery management, including seasonal closures and restrictions on gear that catches juveniles. Protecting estuarine ecosystems.",aquaticlife dataset.docx
60,Mud Crab,Scylla serrata,Portunidae (Crustacean),"Brackish/Marine. Found in mangrove forests, estuaries, and muddy coastal areas. Highly valued commercial species.","Not Evaluated (Globally common, but stocks are heavily fished).","Heavy, unregulated fishing pressure and the destruction of mangrove habitats which are essential for the crab's life cycle.","Regulating fishing size limits, especially to protect female crabs. Urgent protection and restoration of mangrove ecosystems.",aquaticlife dataset.docx
61,Wynaad Barb,Puntius wynaadensis,Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the Wayanad region (Western Ghats), found in clear, upland streams and rivers.",Vulnerable.,Habitat loss and fragmentation due to deforestation and the construction of small dams. Pollution from agricultural runoff in the catchment areas also poses a threat.,Protecting the specific hill stream habitats and maintaining the riparian vegetation along stream banks to prevent siltation.,aquaticlife dataset.docx
62,Bowany Barb,Puntius bovanicus,Cyprinidae (Freshwater Fish),Freshwater. Found in rivers and streams in the Bhavani River system (a major tributary of the Cauvery River) and surrounding areas of the Western Ghats.,Vulnerable.,Habitat degradation caused by dams and weirs which affect natural water flow and block migration routes. Overfishing is a localized threat.,Ensuring environmental flow requirements in regulated rivers and monitoring fishing pressure.,aquaticlife dataset.docx
63,Day's Baril,Barilius evezardi,Cyprinidae (Freshwater Fish),"Freshwater. Found in hill streams and rivers in the Satpura, Vindhya, and Western Ghats ranges, typically favoring clear, fast-flowing water.",Least Concern.,"Habitat degradation due to siltation and pollution, especially from mining activities in some areas.",Protecting the water quality of its stream habitats.,aquaticlife dataset.docx
64,Ghats Baril,Barilius gatensis,Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the Western Ghats, inhabiting clear, torrential hill streams and upper reaches of rivers.",Least Concern.,Localized threats from habitat loss due to the construction of check dams and water diversion.,Maintaining the natural flow and quality of its endemic hill streams.,aquaticlife dataset.docx
65,Vagra Baril,Barilius vagra,Cyprinidae (Freshwater Fish),"Freshwater. Found in clear, fast-flowing rivers and streams throughout the northern Indian subcontinent and parts of peninsular India.",Least Concern.,No major threats; it is a widespread and common species.,None specifically needed.,aquaticlife dataset.docx
66,Cauvery Rasbora,Rasbora caverii,Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the Cauvery River drainage system. Found in clear, moderately flowing streams and rivers.",Vulnerable.,"Habitat degradation due to pollution, siltation, and fragmentation caused by damming projects.",Protecting key stretches of the Cauvery tributaries and controlling pollution input.,aquaticlife dataset.docx
67,Pabo Catfish,Ompok pabo,Siluridae (Freshwater Fish),"Freshwater. Found in rivers and lakes, preferring deep pools with muddy bottoms. It is a highly valued food fish.",Vulnerable.,Overfishing is a major threat due to its high market price. Habitat degradation and wetland draining also contribute to its decline.,Implementing fishing regulations and protecting its deep-water river and wetland habitats.,aquaticlife dataset.docx
68,Gogra Rita,Rita gogra,Bagridae (Freshwater Fish),Freshwater. Found in large rivers and deep pools.,Least Concern.,Overfishing and habitat degradation in major river systems.,Promoting sustainable fishing practices.,aquaticlife dataset.docx
69,King Mackerel (Indo-Pacific King Mackerel),Scomberomorus commerson,Scombridae (Marine Fish),"Marine. A large, fast-swimming, pelagic fish found in coastal and offshore waters. It is highly migratory and a major commercial target.",Least Concern.,High commercial fishing pressure across its range. Susceptible to local depletion due to fishing of large aggregations.,"Regional and international cooperation on implementing fishing quotas, size limits, and monitoring stock levels.",aquaticlife dataset.docx
70,Ribbonfish (Largehead Hairtail),Trichiurus lepturus,Trichiuridae (Marine Fish),"Marine. Found over continental shelves, often in large schools near the bottom or in mid-water.",Least Concern.,"Heavy fishing pressure due to high commercial value, often caught by bottom trawling.",Monitoring fishing intensity and managing trawl fishing to minimize bycatch and habitat damage.,aquaticlife dataset.docx
71,Bombay Duck (Bummalow),Harpadon nehereus,Synodontidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and offshore up to 100 meters. It is a major commercial species, commonly processed and dried.",Least Concern.,"Intense fishing pressure, although its rapid growth and abundance make it resilient. Its fishery can be sensitive to local environmental changes.",Monitoring stock levels to prevent overexploitation and reducing coastal pollution.,aquaticlife dataset.docx
72,Malabar Grouper,Epinephelus malabaricus,Serranidae (Marine Fish),"Marine. Found in coastal areas on coral reefs, rocky substrates, and estuaries. Juveniles often utilize mangrove areas as nurseries.",Near Threatened.,Heavy fishing pressure (it's a highly prized food fish) and habitat destruction of coral reefs and mangroves. Susceptible to overfishing due to its long lifespan and slow growth.,Establishing Marine Protected Areas (MPAs) to safeguard breeding grounds and implementing size limits to protect spawning stock.,aquaticlife dataset.docx
73,Moontail Bullseye,Priacanthus hamrur,Priacanthidae (Marine Fish),"Marine. Found in coastal and offshore waters, usually near coral reefs or rocky bottoms. It is a nocturnal species.",Least Concern.,Fishing pressure from trawling and hook-and-line fishing.,Monitoring fishing intensity and managing catches.,aquaticlife dataset.docx
74,Striped Mullet,Mugil cephalus,Mugilidae (Marine Fish),"Brackish/Marine. Highly adaptable, found in coastal lagoons, estuaries, and offshore waters. It migrates to the sea to spawn.",Least Concern.,Habitat degradation in estuaries (crucial nursery areas) from pollution and development.,Protecting and restoring estuarine habitats and managing water quality.,aquaticlife dataset.docx
75,Largescale Mullet,Liza macrolepis,Mugilidae (Marine Fish),"Brackish/Marine. Found in estuaries, lagoons, and coastal waters. It is very tolerant of varying salinity levels.",Least Concern.,Pollution and habitat degradation in its coastal and estuarine habitats.,Reducing coastal pollution and protecting nursery grounds.,aquaticlife dataset.docx
76,Moustache Anchovy,Thrissocles mystax,Engraulidae (Marine Fish),Marine. Found in coastal and estuarine waters. It forms large schools.,Least Concern.,Heavy fishing pressure as it's a commercially important baitfish and food fish.,Monitoring stock health and ensuring sustainable fishing levels.,aquaticlife dataset.docx
77,Blackfin Barracuda,Sphyraena putnamae,Sphyraenidae (Marine Fish),"Marine. Found in coastal, turbid waters, often over muddy bottoms. It is a predatory, schooling fish.",Least Concern.,Fishing pressure from trawling and line fishing.,None specifically needed.,aquaticlife dataset.docx
78,Indian Garfish,Xenentodon cancila,Belonidae (Freshwater Fish),"Freshwater. Found in stagnant or slow-moving water bodies like ponds, canals, and ditches, usually among vegetation.",Least Concern.,Habitat loss due to the draining of wetlands and pollution.,Protecting and maintaining wetland habitats.,aquaticlife dataset.docx
79,Greater Lizardfish,Saurida tumbil,Synodontidae (Marine Fish),Marine. Found on sandy and muddy bottoms of the continental shelf in coastal and deeper waters.,Least Concern.,"Trawl fishing pressure as it is often caught as bycatch, although it is also commercially utilized.",Sustainable management of bottom trawling.,aquaticlife dataset.docx
80,Indian Scad,Decapterus russelli,Carangidae (Marine Fish),"Marine. A schooling, pelagic fish found in coastal waters and around islands.",Least Concern.,Heavy fishing pressure due to its commercial importance.,Monitoring stock levels and enforcing sustainable fishing practices.,aquaticlife dataset.docx
81,Talang Queenfish,Scomberoides commersonnianus,Carangidae (Marine Fish),"Marine. Found in coastal waters, lagoons, and near reefs. It is a fast-swimming predatory fish.",Least Concern.,"Fishing pressure from various gear types (trolling, netting).",None specifically needed.,aquaticlife dataset.docx
82,Snubnose Pompano,Trachinotus blochii,Carangidae (Marine Fish),"Marine. Found in shallow coastal waters, sandy beaches, and reefs. Juveniles occur in very shallow, surf zones.",Least Concern.,Habitat loss in critical juvenile areas (beaches/surf zones).,Protection of coastal and beach habitats.,aquaticlife dataset.docx
83,Wahoo,Acanthocybium solandri,Scombridae (Marine Fish),"Marine. A large, highly migratory, pelagic fish found in open ocean waters. It is a solitary hunter.",Least Concern.,Recreational and commercial fishing pressure.,International cooperation on monitoring and managing highly migratory species.,aquaticlife dataset.docx
