Species_Name,Scientific_Name,Class_Type,Group_Family,Ecosystem,Habitat_Details,Conservation_Status,IUCN_Status_Code,Dominant_Threat_Factor,Conservation_Suggestions_Detailed,N_Current_Pop_Size,r_Intrinsic_Growth_Rate,Es_Environmental_Stochasticity,Habitat_Quality_Index,Threat_Score_Pollution,Threat_Score_Overfishing,Threat_Score_ClimateChange,Overharvest_Rate,Conservation_Priority_Score
Black Rohu,Labeo calbasu,Freshwater Fish,Cyprinidae,Freshwater (Rivers,"Freshwater (Rivers/Reservoirs). Inhabits the bottom layers of rivers, pools, and slow-moving or standing water bodies.",Least Concern,LC,Habitat loss due to the draining of wetlands and overfishing,Protecting wetlands and implementing controlled fishing.,22410.875,0.115119111,0.203175201,0.55262637,0.561365878,0.529966396,0.646951606,0.117609142,3.9
Cauvery Labeo,Labeo kontius,Freshwater Fish,Cyprinidae,Freshwater (Cauvery River System),Endemic to the Cauvery and its major tributaries in South India.,Endangered,EN,"Habitat fragmentation from dams and barrages on the Cauvery River, which block its migration routes",Prioritizing fish passage/ladders at dams and regulating sand mining activities in river beds.,29457.625,0.167847256,0.158665128,0.574626608,0.5313086,0.502108031,0.384329145,0.12046982,6.36
Arulius Barb,Dawkinsia arulius,Freshwater Fish,Cyprinidae,Freshwater (Endemic),"Found in clear, running streams and rivers in the Cauvery River drainage in South India.",Vulnerable,VU,"Habitat loss due to damming and the aquarium trade collection, as it is a highly valued ornamental fish",Strict regulation of collection for the ornamental trade. Protecting its specific riverine habitats.,24331.125,0.164315953,0.228128181,0.508715074,0.779881591,0.468908326,0.467427825,0.122138017,5.86
Filament Barb,Puntius filamentosus,Freshwater Fish,Cyprinidae,Freshwater (Ornamental),"Found in streams, rivers, and backwaters in the Western Ghats and peninsular India.",Least Concern,LC,Localized collection for the ornamental fish trade and habitat degradation,Sustainable collection practices and habitat protection.,27032.375,0.102344624,0.236861306,0.684409871,0.479172542,0.521743045,0.478840637,0.119193188,3.47
Denison's Barb,Puntius denisonii,Red-line Torpedo Barb,Cyprinidae,Freshwater (Ornamental),"Found in clear, fast-flowing streams and rivers in the Western Ghats (Kerala).",Endangered,EN,"Intensive and unregulated collection for the international aquarium trade is the primary threat, coupled with habitat degradation due to hydroelectric projects and agriculture",Strict regulation or a ban on collection from the wild. Protection and restoration of its endemic river habitats.,28843.125,0.139570818,0.211881011,0.500581422,0.436109183,0.450477823,0.591479663,0.139676176,6.46
Rosy Barb,Puntius conchonius,Freshwater Fish,Cyprinidae,Freshwater (Streams,"Freshwater (Streams/Ponds). Found in streams, lakes, and brackish waters with dense vegetation.",Least Concern,LC,"No major threats, as it is widespread and highly adaptable",None specifically needed.,20563.625,0.118505946,0.179469179,0.552511456,0.393527582,0.344540045,0.387789321,0.134108764,2.88
Olive Barb,Puntius sarana,Freshwater Fish,Cyprinidae,Freshwater (Rivers,"Freshwater (Rivers/Lakes). Found in rivers, streams, and lakes.",Least Concern,LC,Overfishing and habitat degradation,Promoting sustainable fishing.,33510.125,0.142295952,0.257003929,0.598839522,0.53436505,0.487464978,0.405907317,0.139342908,3.38
Mullya Stream Loach,Garra mullya,Freshwater Fish,Cyprinidae,Freshwater (Streams),"Found in fast-flowing, clear mountain streams and rivers across peninsular India.",Least Concern,LC,Siltation of stream beds due to deforestation and water pollution,Protecting the riparian zones of streams to prevent siltation.,21512,0.167105779,0.180495369,0.629881371,0.458109868,0.557658434,0.487489545,0.157073069,3.51
Mysore Stone Loach,Balitora mysorensis,Freshwater Fish,Balitoridae,Freshwater (Endemic),"Found in fast-flowing, clean, well-oxygenated hill streams in the Western Ghats. It adheres to rocks in strong currents.",Vulnerable,VU,Habitat degradation,Protecting the quality and natural flow of its endemic hill streams.,26650.42857,0.157108387,0.129430468,0.68602095,0.6361372,0.5853266,0.721110884,0.148815384,6.24
Freshwater Shark / Wallago,Wallago attu,Freshwater Fish,Siluridae,Freshwater (Large Rivers),"A large predatory catfish found in the main channels of large rivers, deep reservoirs, and lakes.",Vulnerable,VU,Overfishing,Regulating fishing size limits and protecting their riverine habitats.,20393.42857,0.062026656,0.184373717,0.778803092,0.530688584,0.628627077,0.45272498,0.113096777,5.69
Giant River Catfish,Mystus seenghala,Freshwater Fish,Bagridae,Freshwater (Rivers,Freshwater (Rivers/Lakes). A large predatory catfish found in rivers and large reservoirs.,Least Concern,LC,Overfishing and habitat degradation,Implementing sustainable fishing practices.,21184,0.132998247,0.183485298,0.675577381,0.698491545,0.595097334,0.437184097,0.120185563,3.88
Malabar Mystus,Mystus malabaricus,Freshwater Fish,Bagridae,Freshwater,"Found primarily in hill streams and rivers in the Western Ghats of India. It prefers clear, flowing water.",Vulnerable,VU,"Habitat degradation from deforestation leading to siltation of streams, and pollution",Protecting the riparian zones and headwater streams in the Western Ghats to maintain water quality and habitat structure.,27443.85714,0.124731979,0.137297732,0.767280881,0.561471969,0.376705294,0.496087648,0.142873149,5.39
Giant Snakehead,Channa marulius,Murrel,Channidae,Freshwater,"Found in large lakes, rivers, and reservoirs. It is a large, predatory fish known for its ability to breathe air (facultative air-breather).",Least Concern,LC,Overfishing,"Monitoring fishing pressure and protecting large, contiguous freshwater habitats.",20939.14286,0.098834745,0.169413251,0.637959656,0.585532411,0.404081687,0.576329874,0.121815676,3.61
Indian Mottled Eel,Anguilla bengalensis,Fish,Anguillidae,Freshwater,Freshwater/Brackish (Catadromous). Spends its adult life in freshwater rivers and lakes but migrates to the ocean to breed.,Near Threatened,NT,Barriers to migration,Installing fish passages/ladders on dams. Strict regulation of fishing for young eels.,26355.14286,0.175581369,0.198741716,0.567809134,0.44057023,0.471246925,0.322725413,0.190531765,4.06
Tire,Mastacembelus armatus,Fish,Mastacembelidae,Freshwater,"Found in slow-moving rivers, lakes, and reservoirs, preferring soft or muddy bottoms where it can burrow.",Least Concern,LC,Habitat degradation due to siltation and collection for the ornamental fish trade,Habitat protection and sustainable management of collection for the pet trade.,12979.71429,0.075591407,0.161003024,0.570093291,0.513248968,0.552787819,0.495154396,0.145958605,3.6
Indian Oil Sardine,Sardinella longiceps,Marine Fish,Clupeidae,Marine (Pelagic),Found in coastal waters near the surface. It forms large schools and is a keystone species in the marine ecosystem.,Least Concern,LC,Heavy fishing pressure,Implementing science-based fishing quotas and size limits. Monitoring the impact of climate change on stock health.,14491.85714,0.125073177,0.228446658,0.654971629,0.543622847,0.420701317,0.567549817,0.167877734,3.55
Indian Mackerel,Rastrelliger kanagurta,Marine Fish,Scombridae,Marine (Pelagic),Found in large schools in coastal waters.,Least Concern,LC,High fishing pressure,Sustainable fishery management and reducing coastal pollution.,31326.42857,0.151663199,0.229426914,0.582463483,0.555280659,0.35935458,0.46942249,0.116432676,3.31
Giant Trevally,Caranx ignobilis,Marine Fish,Carangidae,Marine,"Found in reefs, open coastal waters, and estuaries. It is a large, highly migratory predatory fish.",Least Concern,LC,"Overfishing, particularly from commercial and recreational anglers","Regulating fishing size and catch limits. Protecting key foraging and spawning sites (e.g., specific reef areas).",25195.42857,0.127934004,0.174114137,0.644342012,0.647228425,0.330990441,0.374379543,0.164506108,3.25
Black Pomfret,Parastromateus niger,Marine Fish,Stromateidae,Marine,"Found in coastal and offshore waters, often over mud bottoms.",Least Concern,LC,Overfishing due to high commercial demand,Implementing sustainable fishing practices.,18289,0.151054649,0.176320096,0.716504045,0.515308891,0.431911229,0.382960951,0.156394126,3.22
Silver Pomfret,Pampus argenteus,Marine Fish,Stromateidae,Marine,Found in coastal and offshore waters. It is one of the most commercially important fish species in India.,Vulnerable,VU,Intense and often unregulated fishing pressure has led to declining stocks in many areas,Implementing and strictly enforcing fishing quotas and seasonal closures during spawning periods.,25703.28571,0.153454356,0.242271064,0.724216613,0.760035997,0.436061164,0.441837279,0.179171588,5.73
Asian Sea Bass,Lates calcarifer,Bhekti,Latidae,Brackish,"Brackish/Marine (Catadromous/Euryhaline). Highly tolerant of salinity changes; found in estuaries, coastal waters, rivers, and lagoons.",Least Concern,LC,Overfishing and habitat loss in critical mangrove and estuarine nursery areas,Protecting estuarine and mangrove habitats. Sustainable management of both wild catch and aquaculture practices.,20407.85714,0.15721639,0.182847097,0.528844065,0.431194671,0.305049497,0.518095504,0.11504844,3.09
Mangrove Red Snapper,Lutjanus argentimaculatus,Marine Fish,Lutjanidae,Marine,"Juveniles are found in mangrove areas and estuaries, while adults inhabit coastal reefs and open water.",Least Concern,LC,Overfishing and destruction of mangrove and estuarine nursery habitats,Protecting critical mangrove ecosystems and regulating fishing gear that targets juvenile fish.,31109,0.123149086,0.152343328,0.682246482,0.593478311,0.320087871,0.451356306,0.114354551,3.27
Indian Anchovy,Stolephorus indicus,Marine Fish,Engraulidae,Marine (Pelagic),Found in large schools in coastal waters.,Least Concern,LC,High fishing pressure,Monitoring stock levels and ensuring fishing remains within sustainable limits.,22468.85714,0.131389051,0.181958994,0.504792718,0.5819587,0.46771103,0.535713184,0.137669996,3.64
Striped Snakehead,Channa striata,Freshwater Fish,Channidae,Freshwater,"Found in stagnant or slow-moving water bodies like canals, rice paddies, ponds, and swamps. It is a highly important food fish.",Least Concern,LC,Habitat degradation from wetland draining and pollution,Protecting wetland ecosystems from conversion and pollution.,25799,0.108455794,0.110341165,0.635717611,0.544445397,0.394617081,0.641691054,0.106743752,3.63
Bronze Featherback,Notopterus notopterus,Freshwater Fish,Notopteridae,Freshwater,"Found in still or slow-moving water like ponds, tanks, canals, and inundated fields.",Least Concern,LC,Overfishing and habitat loss from wetland draining,Protecting its wetland and slow-moving water habitats.,26076.71429,0.136003249,0.243227225,0.515156389,0.359536595,0.571353327,0.584760721,0.102036253,3.53
Spotted Chromide,Etroplus maculatus,Freshwater Fish,Cichlidae,Freshwater,"Freshwater/Brackish. Found primarily in estuaries, lagoons, and backwaters, but also moves into freshwater ponds and slow-moving streams. It prefers areas with aquatic vegetation.",Least Concern,LC,Habitat degradation in estuarine and brackish water environments due to pollution and coastal development,Protection of mangrove and estuarine habitats which serve as crucial nursery areas. Sustainable collection practices for the ornamental trade.,19820.71429,0.140343315,0.217880327,0.798846447,0.55459893,0.615530326,0.507278862,0.099936381,3.8
Wynaad Mahseer,Neolissochilus wynaadensis,Freshwater Fish,Cyprinidae,Freshwater (Endemic),"Found exclusively in clear, fast-flowing hill streams and rivers of the Wayanad region (Western Ghats).",Endangered,EN,"Habitat loss and fragmentation due to river damming, siltation from deforestation on surrounding hills, and pollution from agricultural runoff",Urgent protection of its endemic river stretches. Regulating land use in the catchment areas to prevent siltation.,22959.71429,0.170317636,0.191071969,0.567299061,0.410764987,0.364673183,0.659495031,0.126018121,6.39
Blackspot Barb,Dawkinsia filamentosa,Freshwater Fish,Cyprinidae,Freshwater,"Found in clear, well-oxygenated streams and rivers in the southern Western Ghats. It's often found in shoals.",Least Concern,LC,Localized collection for the ornamental fish trade and habitat degradation from pollution and human activities,Monitoring collection for the aquarium trade and protecting the water quality of its stream habitats.,33348.42857,0.158761538,0.209238941,0.62535019,0.449767919,0.533212593,0.374356464,0.140021985,3.26
Rosy Barb,Puntius conchonius,Freshwater Fish,Cyprinidae,Freshwater,"Found in a variety of water bodies including streams, slow-moving rivers, and standing water like ponds. It prefers areas with dense vegetation.",Least Concern,LC,No major threats,None specifically needed.,25398.14286,0.143243591,0.218028465,0.487373683,0.564734508,0.403001683,0.527195596,0.080817317,3.49
Mullya Stream Loach,Garra mullya,Freshwater Fish,Cyprinidae,Freshwater,"Found in fast-flowing, clear mountain streams and rivers across peninsular India. It has a specialized mouth structure to cling to rocks in strong currents.",Least Concern,LC,Siltation of stream beds,Protecting the vegetation along stream banks (riparian zones) to prevent soil erosion and siltation.,20902.14286,0.165191277,0.23780701,0.620742167,0.405473061,0.515354669,0.668059367,0.145511808,3.65
Butter Catfish,Ompok bimaculatus,Freshwater Fish,Siluridae,Freshwater,"Found in lakes, rivers, reservoirs, and tanks, preferring muddy bottoms and sluggish water. It is a highly valued food fish.",Vulnerable,VU,Overfishing due to high market demand and habitat degradation from pollution and siltation of water bodies,Implementing sustainable fishing practices and protecting its specific freshwater habitats.,27335.85714,0.110074311,0.167098534,0.698717384,0.541871054,0.469960339,0.580042781,0.167143785,5.65
Striped Bonito,Sarda orientalis,Marine Fish,Scombridae,Marine,"A highly migratory, pelagic fish found in coastal and open ocean waters.",Least Concern,LC,"Commercial fishing pressure, particularly from purse seines and gillnets, targeting schooling fish",International cooperation on managing highly migratory species and monitoring fishing quotas.,34797.71429,0.126257822,0.241407844,0.618102622,0.404254045,0.329698836,0.547751502,0.15891934,3.14
Yellowfin Tuna,Thunnus albacares,Marine Fish,Scombridae,Marine,"A large, fast-swimming, highly migratory pelagic fish found in tropical and subtropical ocean waters.",Near Threatened,NT,Intense global fishing pressure,"Implementing international and regional fishery management plans, including quotas, vessel monitoring systems, and protection of juvenile stocks.",22053.42857,0.123637206,0.214488623,0.631779086,0.454883584,0.554156117,0.496880644,0.157381248,4.51
Giant Grouper,Epinephelus malabaricus,Marine Fish,Serranidae,Marine,"Found in coastal reefs, rocky areas, and estuaries. Juveniles use mangroves and estuaries as nursery areas.",Near Threatened,NT,Overfishing,Establishing marine protected areas (MPAs) to protect critical reef habitats and regulating fishing size limits.,22545.14286,0.15294583,0.226964562,0.587320293,0.55405157,0.292141406,0.48162289,0.112204951,4.21
Indian Flounder,Psettodes erumei,Marine Fish,Psettodidae,Marine,A flatfish found on sandy and muddy bottoms in coastal waters and on continental shelves.,Least Concern,LC,Commercial trawling can deplete stocks and damage benthic habitats,Regulating bottom trawling activities to reduce habitat damage and ensure sustainable catch limits.,28038,0.09194491,0.226020319,0.551205499,0.588415889,0.575242598,0.376193506,0.127761571,3.57
Yellowtail Scad,Atule mate,Marine Fish,Carangidae,Marine,"Found in coastal waters, bays, and around islands, often in shallow, inshore areas.",Least Concern,LC,High fishing pressure as it is often caught as bycatch or targeted for local consumption,Monitoring catch levels to prevent overexploitation of local stocks.,34319.42857,0.142973032,0.224126252,0.612064689,0.568917352,0.361574359,0.444246504,0.092384451,3.29
Silver Sillago,Sillago sihama,Whiting,Sillaginidae,Marine,"Found in coastal waters, estuaries, and shallow sandy or muddy bottoms. It is a common inshore species.",Least Concern,LC,Localized overfishing near coastal areas and habitat degradation of inshore waters and estuaries due to pollution and coastal development,Monitoring inshore fishing pressure and protecting estuarine nursery habitats.,28807.57143,0.16474259,0.17188882,0.466294894,0.530409289,0.366645372,0.380801165,0.162004018,3.13
Indian Tongue Sole,Cynoglossus arel,Marine Fish,Cynoglossidae,Marine,"A flatfish found on muddy and sandy bottoms of the continental shelf, often in coastal and estuarine areas.",Least Concern,LC,Trawl fishing pressure can impact stocks and damage benthic habitats,Sustainable management of bottom trawling activities.,19501.85714,0.142103509,0.254908622,0.601301516,0.395428732,0.464724611,0.537031675,0.131369938,3.33
Blackspot Snapper,Lutjanus fulviflammus,Marine Fish,Lutjanidae,Marine,"Juveniles are found in estuaries and mangroves, while adults inhabit coastal reefs and rocky areas.",Least Concern,LC,Overfishing and destruction of critical nursery habitats,"Protecting mangrove and estuarine ecosystems, and implementing regulated fishing to protect breeding stocks.",32279,0.121668848,0.178249407,0.726229765,0.49426739,0.559447938,0.603321244,0.108933929,3.76
Skipjack Tuna,Katsuwonus pelamis,Marine Fish,Scombridae,Marine,"A small, fast-growing, highly migratory pelagic fish found in open tropical and subtropical ocean waters.",Least Concern,LC,"High commercial fishing pressure, as it is the most widely fished tuna species globally",International cooperation on fishery management. Monitoring of fishing methods to minimize bycatch.,32850.28571,0.169774894,0.156171264,0.519358938,0.321090807,0.426828213,0.509399694,0.094558862,3.1
Cobia,Rachycentron canadum,Marine Fish,Rachycentridae,Marine,"Found in coastal waters, estuaries, and around reefs. It is often solitary or found in small groups.",Least Concern,LC,Overfishing and increasing popularity in aquaculture,Monitoring wild stocks against increasing demand from both fishing and aquaculture industries.,22126.57143,0.090204935,0.178492922,0.688789073,0.503808919,0.506433147,0.390719874,0.142266752,3.33
Black Bream,Acanthopagrus berda,Black Sea Bream,Sparidae,Brackish,"Brackish/Marine. Highly tolerant of salinity changes; found in coastal waters, estuaries, and even the lower reaches of rivers. Juveniles inhabit estuaries.",Least Concern,LC,Habitat degradation in estuaries due to pollution and development,Protection of estuarine and brackish water habitats.,29627.85714,0.140939947,0.200038556,0.807017456,0.47106234,0.545876331,0.533716562,0.082621327,3.58
Silver Mojarra,Gerres oyena,Marine Fish,Gerreidae,Marine,"Found in shallow coastal waters, sandy bottoms, and tidal creeks.",Least Concern,LC,"No major threats, as it is a common and widely distributed species",None specifically needed.,24962.57143,0.13770628,0.184314403,0.682965645,0.412238163,0.445958272,0.437390722,0.144103147,3.16
White,Siganus canaliculatus,Marine Fish,Siganidae,Marine,"Found in shallow, coastal waters, seagrass beds, and coral reefs. It is an herbivorous fish.",Least Concern,LC,Habitat destruction of seagrass beds and coral reefs,Protecting key feeding habitats like seagrass beds and reefs.,20655.71429,0.123374085,0.225823173,0.657745734,0.688313847,0.37824393,0.357483639,0.134601241,3.37
Indian White Prawn,Penaeus indicus,Crustacean,Penaeidae,Marine (Commercial),"Juveniles are found in estuaries and backwaters (nursery grounds), while adults live in coastal marine waters.",Not Evaluated,N/A,Intensive fishing pressure and habitat loss in estuarine nursery areas due to pollution and coastal development,"Sustainable fishery management, including seasonal closures and restrictions on gear that catches juveniles. Protecting estuarine ecosystems.",26543,0.136269542,0.192954301,0.528767794,0.482767645,0.535767451,0.622865761,0.110552938,5.24
Mud Crab,Scylla serrata,Crustacean,Portunidae,Brackish,"Brackish/Marine. Found in mangrove forests, estuaries, and muddy coastal areas. Highly valued commercial species.",Not Evaluated,N/A,"Heavy, unregulated fishing pressure and the destruction of mangrove habitats which are essential for the crab","Regulating fishing size limits, especially to protect female crabs. Urgent protection and restoration of mangrove ecosystems.",23143.42857,0.131044579,0.147412279,0.58541299,0.575214543,0.416454831,0.601170011,0.064757307,5.15
Wynaad Barb,Puntius wynaadensis,Freshwater Fish,Cyprinidae,Freshwater,"Endemic to the Wayanad region (Western Ghats), found in clear, upland streams and rivers.",Vulnerable,VU,Habitat loss and fragmentation due to deforestation and the construction of small dams,Protecting the specific hill stream habitats and maintaining the riparian vegetation along stream banks to prevent siltation.,22107,0.132009306,0.237089255,0.566874165,0.467137513,0.564367625,0.69335914,0.116814273,5.87
Bowany Barb,Puntius bovanicus,Freshwater Fish,Cyprinidae,Freshwater,Found in rivers and streams in the Bhavani River system (a major tributary of the Cauvery River) and surrounding areas of the Western Ghats.,Vulnerable,VU,Habitat degradation caused by dams and weirs which affect natural water flow and block migration routes,Ensuring environmental flow requirements in regulated rivers and monitoring fishing pressure.,23589.57143,0.08216088,0.197436052,0.568494878,0.596250389,0.552781359,0.460537622,0.133578048,5.68
Day's Baril,Barilius evezardi,Freshwater Fish,Cyprinidae,Freshwater,"Found in hill streams and rivers in the Satpura, Vindhya, and Western Ghats ranges, typically favoring clear, fast-flowing water.",Least Concern,LC,"Habitat degradation due to siltation and pollution, especially from mining activities in some areas",Protecting the water quality of its stream habitats.,23521.85714,0.122759603,0.203630766,0.661011686,0.39421691,0.523891277,0.511323339,0.137603811,3.38
Ghats Baril,Barilius gatensis,Freshwater Fish,Cyprinidae,Freshwater,"Endemic to the Western Ghats, inhabiting clear, torrential hill streams and upper reaches of rivers.",Least Concern,LC,Localized threats from habitat loss due to the construction of check dams and water diversion,Maintaining the natural flow and quality of its endemic hill streams.,17989.14286,0.104452239,0.210773496,0.665753973,0.71494224,0.431293494,0.536091741,0.088823048,3.8
Vagra Baril,Barilius vagra,Freshwater Fish,Cyprinidae,Freshwater,"Found in clear, fast-flowing rivers and streams throughout the northern Indian subcontinent and parts of peninsular India.",Least Concern,LC,No major threats,None specifically needed.,24267,0.130469665,0.190066023,0.525937173,0.598272313,0.459182941,0.440567755,0.126779486,3.5
Cauvery Rasbora,Rasbora caverii,Freshwater Fish,Cyprinidae,Freshwater,"Endemic to the Cauvery River drainage system. Found in clear, moderately flowing streams and rivers.",Vulnerable,VU,"Habitat degradation due to pollution, siltation, and fragmentation caused by damming projects",Protecting key stretches of the Cauvery tributaries and controlling pollution input.,30092.14286,0.121575259,0.126734619,0.553443942,0.561107507,0.36153971,0.398020355,0.133272776,5.2
Pabo Catfish,Ompok pabo,Freshwater Fish,Siluridae,Freshwater,"Found in rivers and lakes, preferring deep pools with muddy bottoms. It is a highly valued food fish.",Vulnerable,VU,Overfishing is a major threat due to its high market price,Implementing fishing regulations and protecting its deep-water river and wetland habitats.,19338.28571,0.117981172,0.184454688,0.424236481,0.473397533,0.419739421,0.529048078,0.127704014,5.37
Gogra Rita,Rita gogra,Freshwater Fish,Bagridae,Freshwater,Found in large rivers and deep pools.,Least Concern,LC,Overfishing and habitat degradation in major river systems,Promoting sustainable fishing practices.,19318.42857,0.099868447,0.237799914,0.335505442,0.590324606,0.447147007,0.309542019,0.116066841,3.25
King Mackerel,Scomberomorus commerson,Indo-Pacific King Mackerel,Scombridae,Marine,"A large, fast-swimming, pelagic fish found in coastal and offshore waters. It is highly migratory and a major commercial target.",Least Concern,LC,High commercial fishing pressure across its range,"Regional and international cooperation on implementing fishing quotas, size limits, and monitoring stock levels.",32771.28571,0.116078963,0.176681701,0.573246337,0.577579277,0.484225801,0.507226102,0.146299531,3.62
